product_id,product_name,category,price
64f529b0-9482-4c4d-9872-4bd22e676b1a,Traditional Scarf Atlas,Clothing,1099.44
a42460b2-f09d-48dd-a995-0f77d84a4283,Modern Jacket Fez,Clothing,4974.19
bea846ed-0041-468f-8f05-4a4bf69b4235,Eco-Friendly Badminton Racket Fez,Sports,1812.72
77ffaced-179e-4127-825f-096ef8d022c9,Pro Tennis Racket Marrakech,Sports,330.08
5d000de3-3243-44ae-9d9b-75b1f4d8c86e,Pro Table Atlas,Home,2666.32
a909491d-4202-463f-b721-c267f3fd85b2,Chic Laptop Fez,Electronics,3847.19
8413243a-a4d6-4598-b816-d740d3c5e9bb,Traditional Travel Guide Oasis,Books,1202.4
a73c7586-2830-4d53-a8f2-41dd5e763ec0,Chic Smartwatch Kasbah,Electronics,3227.15
e6a96914-98b7-43d3-8dc9-2281e988854c,Authentic Dress Atlas,Clothing,364.46
fe916d2b-d841-4555-90af-019631d22342,Authentic Smartwatch Rabat,Electronics,444.38
abbc8aaa-6707-4460-ba3e-385b5ac6ca8c,Premium Dumbbells Rabat,Sports,4111.53
f72fc5dc-aa5c-46aa-9123-92e3dd3d13cb,Premium Tennis Racket Atlas,Sports,1816.96
e69c0845-f28e-4628-9e59-9480e900cf23,Premium Sneakers Oasis,Clothing,1738.36
29ef3a5b-d70d-4b90-91a1-7d66240b0620,Premium Moroccan History Oasis,Books,2385.58
d32f33ba-bdff-4add-b401-e68c8b2f3643,Traditional Biography Oasis,Books,2760.45
e141efbe-b717-4480-a812-062f2d991056,Ultimate Science Fiction Book Marrakech,Books,724.07
4eb1e1d0-60c2-463e-b01f-e821e5f0cd95,Modern Tablet Oasis,Electronics,4233.42
0b866283-3f6e-4e42-94a7-9e33344e0869,Eco-Friendly Vacuum Cleaner Casablanca,Home,3906.71
3cea77cf-5462-4c2b-80c6-3d3d0d68f97c,Luxury Belt Marrakech,Clothing,2038.57
0de94f12-90e2-450c-a6ca-4103466968ac,Ultimate Phone Fez,Electronics,1194.44
fd5e7126-9d84-4e6d-80e2-a3879ced7ffe,Ultimate Tennis Racket Atlas,Sports,3845.47
a63d6bd9-f024-46e3-91b2-b050659ee696,Elegant Sofa Rabat,Home,1306.26
320eb158-bbd4-490f-821a-f2f5c943bce6,Elegant Moroccan History Fez,Books,4021.94
8fe70c3d-742f-4409-a7e9-0b8d8bf6b2ff,Premium Dress Fez,Clothing,1387.62
44740fce-6992-4f07-96cd-66f0612fbf8b,Chic Chair Marrakech,Home,2161.43
dd11fbb7-e476-4aa9-a353-7279fc748e85,Traditional Sofa Marrakech,Home,4464.98
17de459f-ebfd-456d-8ad9-a86a2a6114a7,Chic Football Oasis,Sports,3105.78
9a6d737a-651e-481d-80a5-144d74e3cd65,Chic Biography Atlas,Books,135.38
21185812-d759-4da5-ac87-0d751fd13c6e,Traditional Self-Help Guide Kasbah,Books,2664.64
594dca2b-b049-40b7-abba-90859de785f9,Chic Cookbook Oasis,Books,4017.52
eff0b4cb-b851-4a05-813d-15618cf321e2,Ultimate Yoga Mat Marrakech,Sports,544.57
9e826f8c-282c-449b-b9d0-8d2c50172908,Chic Basketball Kasbah,Sports,4059.33
f95e7c9b-6a1f-4dea-bdfe-8f83643d2f87,Premium Jacket Casablanca,Clothing,2111.9
0ae94a8d-4adb-47c5-839f-27eded68deff,Pro Sneakers Casablanca,Clothing,442.34
ccdb725a-6bcd-451d-b91c-2c5270e8a5ce,Premium Travel Guide Oasis,Books,3454.18
c6be4928-c639-428c-9c83-34f773d6a4a7,Luxury Running Shoes Casablanca,Sports,2620.53
57ff0f33-8639-4a74-9231-722ad4092b43,Ultimate Sofa Kasbah,Home,4703.19
5677ff46-d6cb-45d8-9f64-f31b7d22aa24,Luxury Yoga Mat Fez,Sports,1470.31
e131ec69-181a-4f57-a742-ba0f73bc6e81,Pro Travel Guide Rabat,Books,2914.57
f3dd82bb-abd5-4822-abb3-eac9152c02c9,Premium Chair Kasbah,Home,1520.44
25190a1b-9665-463d-bb64-817a4ce5f1f7,Chic Phone Oasis,Electronics,1301.46
40c62864-b5f9-4b43-a795-5df377195fb4,Traditional Basketball Atlas,Sports,4382.81
2390164e-ad25-4377-9035-077a4137060f,Chic Cookbook Casablanca,Books,4142.06
deac58eb-a34a-4aac-a0f1-e533202953e3,Premium Tennis Racket Kasbah,Sports,3896.41
92e10737-33d3-4635-8b34-4b7f53ce4ac0,Ultimate Coffee Maker Atlas,Home,1044.5
fc3643c3-d4eb-4949-bc7c-2291f2a182ae,Pro Jacket Oasis,Clothing,4244.49
31730054-481e-40d9-9339-06c42e00b862,Pro Moroccan History Fez,Books,4705.21
ff369d80-9fcb-4e9c-b2fa-98093e6514c6,Pro Dumbbells Marrakech,Sports,1952.98
57021ed8-7c87-43b4-9c3f-86a763987e32,Modern Smartwatch Kasbah,Electronics,485.6
d062a80a-a1ba-4c7d-ba08-fe0c44b571d7,Authentic Smartwatch Atlas,Electronics,577.22
6542e31a-0b3b-4682-9be3-185c487dea8f,Ultimate Travel Guide Atlas,Books,61.83
076c9fac-5b49-4749-9f26-8b0fbe3e12f8,Modern Biography Oasis,Books,3184.53
5b4d4aa7-5bb9-47f5-8656-3e49ba8703f5,Elegant Tablet Marrakech,Electronics,3226.45
279636b7-32df-4956-9520-8f0de981ed22,Premium Jeans Oasis,Clothing,1881.04
ddcf1ffc-8941-40d0-b3c4-3aceb9773cbc,Premium Yoga Mat Oasis,Sports,2186.64
44df13cf-9e7b-4069-b929-8e8db5d6fd75,Traditional Badminton Racket Oasis,Sports,3108.23
f751bb33-c64a-4e91-be3e-104f125c7aee,Elegant Running Shoes Rabat,Sports,4125.13
9b573bb8-1bab-418b-bdf9-68462c703f5e,Luxury Smartwatch Rabat,Electronics,4560.0
84b6a0c3-ac56-4d3a-9b9b-717820546531,Chic Microwave Casablanca,Home,1293.23
5b2848e5-aaf4-4947-a47d-ea2fedd0f0f1,Authentic Sofa Casablanca,Home,4103.57
9b8391a8-731b-4ded-ae9b-b6cb4e9786cb,Chic Tablet Atlas,Electronics,813.54
eae0b598-a67a-4415-bd98-f01a04c59065,Eco-Friendly Jacket Casablanca,Clothing,1121.21
ba4d7f07-273f-445a-ba32-aceacc28f95f,Chic Jeans Atlas,Clothing,1698.99
89cbb838-be45-4de8-8645-1dc82320255b,Eco-Friendly Cookbook Oasis,Books,4978.13
12d2022d-6432-4783-b7e2-9d25ae306b4a,Pro Basketball Atlas,Sports,26.89
ea8865f8-77a1-47ba-894a-9e67156702fd,Modern Jeans Fez,Clothing,1520.29
e0db1b94-6716-43d7-aec7-8849ee830f3c,Ultimate Tablet Kasbah,Electronics,1114.78
4a25e36e-0c4d-44e7-ad01-7ea3ef5a4e39,Ultimate Running Shoes Oasis,Sports,1425.3
de788878-28e7-4719-846f-34617643c957,Ultimate Yoga Mat Fez,Sports,4359.28
3b25e765-c670-4327-ae1d-ecbf7b5a87d5,Traditional Blender Fez,Home,2426.59
308b5f1c-5b33-473b-bc87-708f3d56eacc,Traditional Chair Atlas,Home,4049.49
81cb62bb-b216-4f8e-899e-ee92433724a3,Elegant Tablet Rabat,Electronics,3797.19
f514e338-76a4-4188-b7d4-91059dd092f7,Traditional Dress Kasbah,Clothing,794.44
67fe434d-b714-49ea-b1e3-dee1c26211f2,Pro Microwave Atlas,Home,1382.43
3606ca6e-99e9-4a33-9031-e9436aaacb93,Luxury Football Kasbah,Sports,4793.5
7e9e57ed-56b9-441c-b1c1-e4afbdc53a65,Ultimate Vacuum Cleaner Rabat,Home,1808.15
12ffc637-bdf7-48b0-b48b-57308583db44,Modern Blender Casablanca,Home,195.56
15fc509a-667e-406b-b945-f5376b57727d,Premium Football Atlas,Sports,3897.93
abda7eac-ae12-4144-a2f1-fc097dff2f97,Modern Jeans Oasis,Clothing,2343.78
bf9f7a61-20d8-48fc-a1c2-dc842eab95db,Ultimate Travel Guide Kasbah,Books,2293.52
f93b1d0f-d228-4f62-bfeb-72666a96394c,Authentic Phone Kasbah,Electronics,4013.24
2a2bc8f0-fab4-452e-a671-7cc7f128496b,Traditional Smartwatch Fez,Electronics,4283.25
6966b4dd-3c99-4619-8702-2a83e3b2a641,Modern Speaker Rabat,Electronics,4282.15
36dbccc5-87e1-4c26-9ba3-ca474e149dda,Traditional Moroccan History Fez,Books,1184.28
b18390bf-e052-44d3-a654-b623ad0b575c,Luxury Belt Marrakech,Clothing,695.4
